Daudi_R1_S40_R1_001.fastq.gz	Daudi_R1_S40_R2_001.fastq.gz	Daudi_R1
Daudi_R2_S41_R1_001.fastq.gz	Daudi_R2_S41_R2_001.fastq.gz	Daudi_R2
Daudi_R3_S42_R1_001.fastq.gz	Daudi_R3_S42_R2_001.fastq.gz	Daudi_R3
Jurkat_R1_S37_R1_001.fastq.gz	Jurkat_R1_S37_R2_001.fastq.gz	Jurkat_R1
Jurkat_R2_S38_R1_001.fastq.gz	Jurkat_R2_S38_R2_001.fastq.gz	Jurkat_R2
Jurkat_R3_S39_R1_001.fastq.gz	Jurkat_R3_S39_R2_001.fastq.gz	Jurkat_R3
PB1_10ng_R1_S4_R1_001.fastq.gz	PB1_10ng_R1_S4_R2_001.fastq.gz	PB1_10ng_R1
PB1_10ng_R2_S5_R1_001.fastq.gz	PB1_10ng_R2_S5_R2_001.fastq.gz	PB1_10ng_R2
PB1_10ng_R3_S6_R1_001.fastq.gz	PB1_10ng_R3_S6_R2_001.fastq.gz	PB1_10ng_R3
PB1_250ng_R1_S10_R1_001.fastq.gz	PB1_250ng_R1_S10_R2_001.fastq.gz	PB1_250ng_R1
PB1_250ng_R2_S11_R1_001.fastq.gz	PB1_250ng_R2_S11_R2_001.fastq.gz	PB1_250ng_R2
PB1_250ng_R3_S12_R1_001.fastq.gz	PB1_250ng_R3_S12_R2_001.fastq.gz	PB1_250ng_R3
PB1_2ng_R1_S1_R1_001.fastq.gz	PB1_2ng_R1_S1_R2_001.fastq.gz	PB1_2ng_R1
PB1_2ng_R2_S2_R1_001.fastq.gz	PB1_2ng_R2_S2_R2_001.fastq.gz	PB1_2ng_R2
PB1_2ng_R3_S3_R1_001.fastq.gz	PB1_2ng_R3_S3_R2_001.fastq.gz	PB1_2ng_R3
PB1_50ng_R1_S7_R1_001.fastq.gz	PB1_50ng_R1_S7_R2_001.fastq.gz	PB1_50ng_R1
PB1_50ng_R2_S8_R1_001.fastq.gz	PB1_50ng_R2_S8_R2_001.fastq.gz	PB1_50ng_R2
PB1_50ng_R3_S9_R1_001.fastq.gz	PB1_50ng_R3_S9_R2_001.fastq.gz	PB1_50ng_R3
PB2_10ng_R1_S16_R1_001.fastq.gz	PB2_10ng_R1_S16_R2_001.fastq.gz	PB2_10ng_R1
PB2_10ng_R2_S17_R1_001.fastq.gz	PB2_10ng_R2_S17_R2_001.fastq.gz	PB2_10ng_R2
PB2_10ng_R3_S18_R1_001.fastq.gz	PB2_10ng_R3_S18_R2_001.fastq.gz	PB2_10ng_R3
PB2_250ng_R1_S22_R1_001.fastq.gz	PB2_250ng_R1_S22_R2_001.fastq.gz	PB2_250ng_R1
PB2_250ng_R2_S23_R1_001.fastq.gz	PB2_250ng_R2_S23_R2_001.fastq.gz	PB2_250ng_R2
PB2_250ng_R3_S24_R1_001.fastq.gz	PB2_250ng_R3_S24_R2_001.fastq.gz	PB2_250ng_R3
PB2_2ng_R1_S13_R1_001.fastq.gz	PB2_2ng_R1_S13_R2_001.fastq.gz	PB2_2ng_R1
PB2_2ng_R2_S14_R1_001.fastq.gz	PB2_2ng_R2_S14_R2_001.fastq.gz	PB2_2ng_R2
PB2_2ng_R3_S15_R1_001.fastq.gz	PB2_2ng_R3_S15_R2_001.fastq.gz	PB2_2ng_R3
PB2_50ng_R1_S19_R1_001.fastq.gz	PB2_50ng_R1_S19_R2_001.fastq.gz	PB2_50ng_R1
PB2_50ng_R2_S20_R1_001.fastq.gz	PB2_50ng_R2_S20_R2_001.fastq.gz	PB2_50ng_R2
PB2_50ng_R3_S21_R1_001.fastq.gz	PB2_50ng_R3_S21_R2_001.fastq.gz	PB2_50ng_R3
WB2_102ng_R3_S27_R1_001.fastq.gz	WB2_102ng_R3_S27_R2_001.fastq.gz	WB2_102ng_R3
WB2_10ng_R1_S25_R1_001.fastq.gz	WB2_10ng_R1_S25_R2_001.fastq.gz	WB2_10ng_R1
WB2_10ng_R2_S26_R1_001.fastq.gz	WB2_10ng_R2_S26_R2_001.fastq.gz	WB2_10ng_R2
WB2_1250ng_R1_S34_R1_001.fastq.gz	WB2_1250ng_R1_S34_R2_001.fastq.gz	WB2_1250ng_R1
WB2_1250ng_R2_S35_R1_001.fastq.gz	WB2_1250ng_R2_S35_R2_001.fastq.gz	WB2_1250ng_R2
WB2_1250ng_R3_S36_R1_001.fastq.gz	WB2_1250ng_R3_S36_R2_001.fastq.gz	WB2_1250ng_R3
WB2_250ng_R1_S31_R1_001.fastq.gz	WB2_250ng_R1_S31_R2_001.fastq.gz	WB2_250ng_R1
WB2_250ng_R2_S32_R1_001.fastq.gz	WB2_250ng_R2_S32_R2_001.fastq.gz	WB2_250ng_R2
WB2_250ng_R3_S33_R1_001.fastq.gz	WB2_250ng_R3_S33_R2_001.fastq.gz	WB2_250ng_R3
WB2_50ng_R1_S28_R1_001.fastq.gz	WB2_50ng_R1_S28_R2_001.fastq.gz	WB2_50ng_R1
WB2_50ng_R2_S29_R1_001.fastq.gz	WB2_50ng_R2_S29_R2_001.fastq.gz	WB2_50ng_R2
WB2_50ng_R3_S30_R1_001.fastq.gz	WB2_50ng_R3_S30_R2_001.fastq.gz	WB2_50ng_R3
